        dimension     Birth     Death
   [1,]         0 0.0000000       Inf
 [160,]         0 0.0000000 0.7670647
 [161,]         0 0.0000000 0.7669514
 [162,]         0 0.0000000 0.7668320
 [163,]         0 0.0000000 0.7667845
 [164,]         0 0.0000000 0.7667669
 [165,]         0 0.0000000 0.7667024
 [166,]         0 0.0000000 0.7664989
 [167,]         0 0.0000000 0.7663380
 [168,]         0 0.0000000 0.7661276
 [169,]         0 0.0000000 0.7661145
 [170,]         0 0.0000000 0.7660772
 [171,]         0 0.0000000 0.7660256
 [172,]         0 0.0000000 0.7657678
 [173,]         0 0.0000000 0.7657549
 [174,]         0 0.0000000 0.7655707
 [175,]         0 0.0000000 0.7655472
 [176,]         0 0.0000000 0.7654913
 [177,]         0 0.0000000 0.7654324
 [178,]         0 0.0000000 0.7653739
 [179,]         0 0.0000000 0.7649974
 [180,]         0 0.0000000 0.7649533
 [181,]         0 0.0000000 0.7649493
 [182,]         0 0.0000000 0.7649193
 [183,]         0 0.0000000 0.7648511
 [184,]         0 0.0000000 0.7648503
 [185,]         0 0.0000000 0.7647240
 [186,]         0 0.0000000 0.7644830
 [187,]         0 0.0000000 0.7640434
 [188,]         0 0.0000000 0.7639969
 [189,]         0 0.0000000 0.7639709
 [190,]         0 0.0000000 0.7639411
 [191,]         0 0.0000000 0.7639267
 [192,]         0 0.0000000 0.7639012
 [193,]         0 0.0000000 0.7637860
 [194,]         0 0.0000000 0.7636012
 [195,]         0 0.0000000 0.7635565
 [196,]         0 0.0000000 0.7635483
 [197,]         0 0.0000000 0.7632465
 [198,]         0 0.0000000 0.7631142
 [199,]         0 0.0000000 0.7630139
 [200,]         0 0.0000000 0.7629943
 [201,]         0 0.0000000 0.7627878
 [202,]         0 0.0000000 0.7627850
 [203,]         0 0.0000000 0.7626108
 [204,]         0 0.0000000 0.7624716
 [205,]         0 0.0000000 0.7622869
 [206,]         0 0.0000000 0.7622764
 [207,]         0 0.0000000 0.7621622
 [208,]         0 0.0000000 0.7620766
 [209,]         0 0.0000000 0.7619391
 [210,]         0 0.0000000 0.7619321
 [211,]         0 0.0000000 0.7618514
 [212,]         0 0.0000000 0.7616997
 [213,]         0 0.0000000 0.7615144
 [214,]         0 0.0000000 0.7613833
 [215,]         0 0.0000000 0.7612972
 [216,]         0 0.0000000 0.7611889
 [217,]         0 0.0000000 0.7611708
 [218,]         0 0.0000000 0.7611220
 [219,]         0 0.0000000 0.7611169
 [220,]         0 0.0000000 0.7608563
 [221,]         0 0.0000000 0.7608071
 [222,]         0 0.0000000 0.7607670
 [223,]         0 0.0000000 0.7607478
 [224,]         0 0.0000000 0.7607077
 [225,]         0 0.0000000 0.7606551
 [226,]         0 0.0000000 0.7604706
 [227,]         0 0.0000000 0.7603856
 [228,]         0 0.0000000 0.7603705
 [229,]         0 0.0000000 0.7603678
 [230,]         0 0.0000000 0.7602745
 [231,]         0 0.0000000 0.7602646
 [232,]         0 0.0000000 0.7601166
 [233,]         0 0.0000000 0.7597481
 [234,]         0 0.0000000 0.7596601
 [235,]         0 0.0000000 0.7596502
 [236,]         0 0.0000000 0.7594789
 [237,]         0 0.0000000 0.7594779
 [238,]         0 0.0000000 0.7591624
 [239,]         0 0.0000000 0.7590166
 [240,]         0 0.0000000 0.7590068
 [241,]         0 0.0000000 0.7587539
 [242,]         0 0.0000000 0.7586536
 [243,]         0 0.0000000 0.7585422
 [244,]         0 0.0000000 0.7583523
 [245,]         0 0.0000000 0.7583419
 [246,]         0 0.0000000 0.7583174
 [247,]         0 0.0000000 0.7582440
 [248,]         0 0.0000000 0.7576879
 [249,]         0 0.0000000 0.7576376
 [250,]         0 0.0000000 0.7576223
 [251,]         0 0.0000000 0.7575132
 [252,]         0 0.0000000 0.7574599
 [253,]         0 0.0000000 0.7574573
 [254,]         0 0.0000000 0.7574454
 [255,]         0 0.0000000 0.7573041
 [256,]         0 0.0000000 0.7570604
 [257,]         0 0.0000000 0.7566310
 [258,]         0 0.0000000 0.7565960
 [259,]         0 0.0000000 0.7565365
 [260,]         0 0.0000000 0.7563151
 [261,]         0 0.0000000 0.7562731
 [262,]         0 0.0000000 0.7559552
 [263,]         0 0.0000000 0.7558831
 [264,]         0 0.0000000 0.7558346
 [265,]         0 0.0000000 0.7557013
 [266,]         0 0.0000000 0.7556630
 [267,]         0 0.0000000 0.7555697
 [268,]         0 0.0000000 0.7545477
 [269,]         0 0.0000000 0.7545080
 [270,]         0 0.0000000 0.7544627
 [271,]         0 0.0000000 0.7540897
 [272,]         0 0.0000000 0.7540380
 [273,]         0 0.0000000 0.7539630
 [274,]         0 0.0000000 0.7539554
 [275,]         0 0.0000000 0.7539544
 [276,]         0 0.0000000 0.7536710
 [277,]         0 0.0000000 0.7535816
 [278,]         0 0.0000000 0.7535549
 [279,]         0 0.0000000 0.7535534
 [280,]         0 0.0000000 0.7534867
 [281,]         0 0.0000000 0.7533915
 [282,]         0 0.0000000 0.7529575
 [283,]         0 0.0000000 0.7523259
 [284,]         0 0.0000000 0.7522417
 [285,]         0 0.0000000 0.7517401
 [286,]         0 0.0000000 0.7516645
 [287,]         0 0.0000000 0.7516465
 [288,]         0 0.0000000 0.7513544
 [289,]         0 0.0000000 0.7511471
 [290,]         0 0.0000000 0.7508545
 [291,]         0 0.0000000 0.7500563
 [292,]         0 0.0000000 0.7483004
 [293,]         0 0.0000000 0.7479475
 [294,]         0 0.0000000 0.7477971
 [295,]         0 0.0000000 0.7477389
 [296,]         0 0.0000000 0.7470104
 [297,]         0 0.0000000 0.7468444
 [298,]         0 0.0000000 0.7463032
 [299,]         0 0.0000000 0.7459977
 [300,]         0 0.0000000 0.7454234
 [301,]         0 0.0000000 0.7452612
 [302,]         0 0.0000000 0.7449654
 [303,]         0 0.0000000 0.7437953
 [304,]         0 0.0000000 0.7436925
 [305,]         0 0.0000000 0.7426377
 [306,]         0 0.0000000 0.7424461
 [307,]         0 0.0000000 0.7423579
 [308,]         0 0.0000000 0.7423559
 [309,]         0 0.0000000 0.7416987
 [310,]         0 0.0000000 0.7408080
 [311,]         0 0.0000000 0.7407795
 [312,]         0 0.0000000 0.7403926
 [313,]         0 0.0000000 0.7403330
 [314,]         0 0.0000000 0.7391639
 [315,]         0 0.0000000 0.7388877
 [316,]         0 0.0000000 0.7388836
 [317,]         0 0.0000000 0.7387403
 [318,]         0 0.0000000 0.7383021
 [319,]         0 0.0000000 0.7380737
 [320,]         0 0.0000000 0.7375583
 [321,]         0 0.0000000 0.7371318
 [322,]         0 0.0000000 0.7369508
 [323,]         0 0.0000000 0.7366984
 [324,]         0 0.0000000 0.7366095
 [325,]         0 0.0000000 0.7365833
 [326,]         0 0.0000000 0.7359942
 [327,]         0 0.0000000 0.7356254
 [328,]         0 0.0000000 0.7352814
 [329,]         0 0.0000000 0.7351503
 [330,]         0 0.0000000 0.7346365
 [331,]         0 0.0000000 0.7343577
 [332,]         0 0.0000000 0.7340283
 [333,]         0 0.0000000 0.7335194
 [334,]         0 0.0000000 0.7334344
 [335,]         0 0.0000000 0.7333405
 [336,]         0 0.0000000 0.7332996
 [337,]         0 0.0000000 0.7329766
 [338,]         0 0.0000000 0.7329122
 [339,]         0 0.0000000 0.7327029
 [340,]         0 0.0000000 0.7324413
 [341,]         0 0.0000000 0.7322679
 [342,]         0 0.0000000 0.7321180
 [343,]         0 0.0000000 0.7320562
 [344,]         0 0.0000000 0.7320557
 [345,]         0 0.0000000 0.7318887
 [346,]         0 0.0000000 0.7317530
 [347,]         0 0.0000000 0.7312250
 [348,]         0 0.0000000 0.7307864
 [349,]         0 0.0000000 0.7300339
 [350,]         0 0.0000000 0.7296263
 [351,]         0 0.0000000 0.7295487
 [352,]         0 0.0000000 0.7291032
 [353,]         0 0.0000000 0.7289551
 [354,]         0 0.0000000 0.7286186
 [355,]         0 0.0000000 0.7285626
 [356,]         0 0.0000000 0.7284794
 [357,]         0 0.0000000 0.7280374
 [358,]         0 0.0000000 0.7279542
 [359,]         0 0.0000000 0.7268017
 [360,]         0 0.0000000 0.7264210
 [361,]         0 0.0000000 0.7261950
 [362,]         0 0.0000000 0.7259031
 [363,]         0 0.0000000 0.7258376
 [364,]         0 0.0000000 0.7251253
 [365,]         0 0.0000000 0.7240547
 [366,]         0 0.0000000 0.7237189
 [367,]         0 0.0000000 0.7234184
 [368,]         0 0.0000000 0.7228561
 [369,]         0 0.0000000 0.7225640
 [370,]         0 0.0000000 0.7219711
 [371,]         0 0.0000000 0.7218790
 [372,]         0 0.0000000 0.7215868
 [373,]         0 0.0000000 0.7204200
 [374,]         0 0.0000000 0.7201968
 [375,]         0 0.0000000 0.7200550
 [376,]         0 0.0000000 0.7199427
 [377,]         0 0.0000000 0.7186329
 [378,]         0 0.0000000 0.7185656
 [379,]         0 0.0000000 0.7183960
 [380,]         0 0.0000000 0.7178485
 [381,]         0 0.0000000 0.7176951
 [382,]         0 0.0000000 0.7166263
 [383,]         0 0.0000000 0.7158553
 [384,]         0 0.0000000 0.7157157
 [385,]         0 0.0000000 0.7139520
 [386,]         0 0.0000000 0.7136463
 [387,]         0 0.0000000 0.7125577
 [388,]         0 0.0000000 0.7093471
 [389,]         0 0.0000000 0.7059934
 [390,]         0 0.0000000 0.7051009
 [391,]         0 0.0000000 0.7039608
 [392,]         0 0.0000000 0.7034664
 [393,]         0 0.0000000 0.7024488
 [394,]         0 0.0000000 0.7024358
 [395,]         0 0.0000000 0.7019106
 [396,]         0 0.0000000 0.7016618
 [397,]         0 0.0000000 0.7009650
 [398,]         0 0.0000000 0.7003772
 [399,]         0 0.0000000 0.7003447
 [400,]         0 0.0000000 0.7000380
 [401,]         0 0.0000000 0.6999546
 [402,]         0 0.0000000 0.6983690
 [403,]         0 0.0000000 0.6982718
 [404,]         0 0.0000000 0.6980518
 [405,]         0 0.0000000 0.6975853
 [406,]         0 0.0000000 0.6969017
 [407,]         0 0.0000000 0.6965607
 [408,]         0 0.0000000 0.6964959
 [409,]         0 0.0000000 0.6963167
 [410,]         0 0.0000000 0.6961546
 [411,]         0 0.0000000 0.6960758
 [412,]         0 0.0000000 0.6959594
 [413,]         0 0.0000000 0.6947539
 [414,]         0 0.0000000 0.6947240
 [415,]         0 0.0000000 0.6943353
 [416,]         0 0.0000000 0.6933349
 [417,]         0 0.0000000 0.6933152
 [418,]         0 0.0000000 0.6926632
 [419,]         0 0.0000000 0.6926171
 [420,]         0 0.0000000 0.6923574
 [421,]         0 0.0000000 0.6919267
 [422,]         0 0.0000000 0.6919147
 [423,]         0 0.0000000 0.6916094
 [424,]         0 0.0000000 0.6915421
 [425,]         0 0.0000000 0.6913438
 [426,]         0 0.0000000 0.6909012
 [427,]         0 0.0000000 0.6902431
 [428,]         0 0.0000000 0.6894320
 [429,]         0 0.0000000 0.6890722
 [430,]         0 0.0000000 0.6889459
 [431,]         0 0.0000000 0.6886761
 [432,]         0 0.0000000 0.6885583
 [433,]         0 0.0000000 0.6885439
 [434,]         0 0.0000000 0.6885305
 [435,]         0 0.0000000 0.6882327
 [436,]         0 0.0000000 0.6876703
 [437,]         0 0.0000000 0.6873453
 [438,]         0 0.0000000 0.6866143
 [439,]         0 0.0000000 0.6862627
 [440,]         0 0.0000000 0.6858473
 [441,]         0 0.0000000 0.6848609
 [442,]         0 0.0000000 0.6847558
 [443,]         0 0.0000000 0.6847242
 [444,]         0 0.0000000 0.6845562
 [445,]         0 0.0000000 0.6840820
 [446,]         0 0.0000000 0.6839644
 [447,]         0 0.0000000 0.6832163
 [448,]         0 0.0000000 0.6827968
 [449,]         0 0.0000000 0.6818981
 [450,]         0 0.0000000 0.6815640
 [451,]         0 0.0000000 0.6813947
 [452,]         0 0.0000000 0.6813813
 [453,]         0 0.0000000 0.6813096
 [454,]         0 0.0000000 0.6810479
 [455,]         0 0.0000000 0.6807797
 [456,]         0 0.0000000 0.6805847
 [457,]         0 0.0000000 0.6805406
 [458,]         0 0.0000000 0.6804860
 [459,]         0 0.0000000 0.6802430
 [460,]         0 0.0000000 0.6797621
 [461,]         0 0.0000000 0.6795993
 [462,]         0 0.0000000 0.6790532
 [463,]         0 0.0000000 0.6789451
 [464,]         0 0.0000000 0.6788070
 [465,]         0 0.0000000 0.6786109
 [466,]         0 0.0000000 0.6778853
 [467,]         0 0.0000000 0.6776441
 [468,]         0 0.0000000 0.6775834
 [469,]         0 0.0000000 0.6768689
 [470,]         0 0.0000000 0.6763721
 [471,]         0 0.0000000 0.6759491
 [472,]         0 0.0000000 0.6756177
 [473,]         0 0.0000000 0.6753462
 [474,]         0 0.0000000 0.6751411
 [475,]         0 0.0000000 0.6749465
 [476,]         0 0.0000000 0.6748965
 [477,]         0 0.0000000 0.6744259
 [478,]         0 0.0000000 0.6740825
 [479,]         0 0.0000000 0.6732811
 [480,]         0 0.0000000 0.6730299
 [481,]         0 0.0000000 0.6729623
 [482,]         0 0.0000000 0.6729285
 [483,]         0 0.0000000 0.6723201
 [484,]         0 0.0000000 0.6722963
 [485,]         0 0.0000000 0.6719289
 [486,]         0 0.0000000 0.6715436
 [487,]         0 0.0000000 0.6712909
 [488,]         0 0.0000000 0.6712228
 [489,]         0 0.0000000 0.6711442
 [490,]         0 0.0000000 0.6710553
 [491,]         0 0.0000000 0.6708286
 [492,]         0 0.0000000 0.6706659
 [493,]         0 0.0000000 0.6706424
 [494,]         0 0.0000000 0.6703756
 [495,]         0 0.0000000 0.6700987
 [496,]         0 0.0000000 0.6700493
 [497,]         0 0.0000000 0.6700131
 [498,]         0 0.0000000 0.6696740
 [499,]         0 0.0000000 0.6696284
 [500,]         0 0.0000000 0.6691623
 [501,]         0 0.0000000 0.6689286
 [502,]         0 0.0000000 0.6686741
 [503,]         0 0.0000000 0.6684972
 [504,]         0 0.0000000 0.6684125
 [505,]         0 0.0000000 0.6683504
 [506,]         0 0.0000000 0.6683182
 [507,]         0 0.0000000 0.6683130
 [508,]         0 0.0000000 0.6678012
 [509,]         0 0.0000000 0.6677698
 [510,]         0 0.0000000 0.6677391
 [511,]         0 0.0000000 0.6676663
 [512,]         0 0.0000000 0.6675931
 [513,]         0 0.0000000 0.6675429
 [514,]         0 0.0000000 0.6675150
 [515,]         0 0.0000000 0.6671278
 [516,]         0 0.0000000 0.6665309
 [517,]         0 0.0000000 0.6662959
 [518,]         0 0.0000000 0.6655682
 [519,]         0 0.0000000 0.6655154
 [520,]         0 0.0000000 0.6653768
 [521,]         0 0.0000000 0.6653136
 [522,]         0 0.0000000 0.6652099
 [523,]         0 0.0000000 0.6651631
 [524,]         0 0.0000000 0.6650242
 [525,]         0 0.0000000 0.6649400
 [526,]         0 0.0000000 0.6647379
 [527,]         0 0.0000000 0.6642806
 [528,]         0 0.0000000 0.6636245
 [529,]         0 0.0000000 0.6635458
 [530,]         0 0.0000000 0.6633057
 [531,]         0 0.0000000 0.6631376
 [532,]         0 0.0000000 0.6631150
 [533,]         0 0.0000000 0.6623900
 [534,]         0 0.0000000 0.6623600
 [535,]         0 0.0000000 0.6623151
 [536,]         0 0.0000000 0.6619027
 [537,]         0 0.0000000 0.6618846
 [538,]         0 0.0000000 0.6618501
 [539,]         0 0.0000000 0.6610374
 [540,]         0 0.0000000 0.6609245
 [541,]         0 0.0000000 0.6607439
 [542,]         0 0.0000000 0.6606468
 [543,]         0 0.0000000 0.6600924
 [544,]         0 0.0000000 0.6599805
 [545,]         0 0.0000000 0.6598039
 [546,]         0 0.0000000 0.6597842
 [547,]         0 0.0000000 0.6594896
 [548,]         0 0.0000000 0.6594888
 [549,]         0 0.0000000 0.6592067
 [550,]         0 0.0000000 0.6590969
 [551,]         0 0.0000000 0.6590207
 [552,]         0 0.0000000 0.6582291
 [553,]         0 0.0000000 0.6579392
 [554,]         0 0.0000000 0.6576194
 [555,]         0 0.0000000 0.6575646
 [556,]         0 0.0000000 0.6564970
 [557,]         0 0.0000000 0.6564454
 [558,]         0 0.0000000 0.6544368
 [559,]         0 0.0000000 0.6542870
 [560,]         0 0.0000000 0.6542280
 [561,]         0 0.0000000 0.6540743
 [562,]         0 0.0000000 0.6535710
 [563,]         0 0.0000000 0.6533485
 [564,]         0 0.0000000 0.6532995
 [565,]         0 0.0000000 0.6526770
 [566,]         0 0.0000000 0.6506956
 [567,]         0 0.0000000 0.6505002
 [568,]         0 0.0000000 0.6490131
 [569,]         0 0.0000000 0.6484368
 [570,]         0 0.0000000 0.6438651
 [571,]         0 0.0000000 0.6424661
 [572,]         0 0.0000000 0.6420759
 [573,]         0 0.0000000 0.6380339
 [574,]         0 0.0000000 0.6374500
 [575,]         0 0.0000000 0.6371644
 [576,]         0 0.0000000 0.6370850
 [577,]         0 0.0000000 0.6353228
 [578,]         0 0.0000000 0.6338819
 [579,]         0 0.0000000 0.6328452
 [580,]         0 0.0000000 0.6324875
 [581,]         0 0.0000000 0.6316221
 [582,]         0 0.0000000 0.6310192
 [583,]         0 0.0000000 0.6306913
 [584,]         0 0.0000000 0.6298107
